horizon	split	method	metric	value
7	train	torch_tail	f1	0.694975721
7	train	torch_tail	precision	0.537157957
7	train	torch_tail	recall	0.984108051
7	train	torch_tail	interval_coverage	0.910982275
7	train	torch_tail	interval_width	535.0026746
7	train	torch_tail	pinball_q0.1	24.66925047
7	train	torch_tail	pinball_q0.5	46.45526862
7	train	torch_tail	pinball_q0.9	23.54338806
7	train	torch_tail	pinball_q0.95	14.86455383
7	train	torch_tail	pinball_q0.99	4.861823107
7	train	torch_tail	tail_count	28505
7	train	torch_tail	tail_mae	338.1405771
7	train	torch_tail	tail_rmse	635.0636205
7	train	torch_tail	tail_r2	0.637895045
7	train	naive_last_conductance	observed_count	545254
7	train	naive_last_conductance	mae	82.86463862
7	train	naive_last_conductance	rmse	241.396708
7	train	naive_last_conductance	r2	0.933129048
7	train	naive_last_conductance	auc	0.994398994
7	train	naive_last_conductance	f1	0.8773911
7	train	naive_last_conductance	precision	0.875980197
7	train	naive_last_conductance	recall	0.878806555
7	train	naive_last_conductance	interval_coverage	nan
7	train	naive_last_conductance	interval_width	nan
7	train	naive_last_conductance	pinball_q0.1	nan
7	train	naive_last_conductance	pinball_q0.5	nan
7	train	naive_last_conductance	pinball_q0.9	nan
7	train	naive_last_conductance	pinball_q0.95	nan
7	train	naive_last_conductance	pinball_q0.99	nan
7	train	naive_last_conductance	tail_count	27584
7	train	naive_last_conductance	tail_mae	355.1837176
7	train	naive_last_conductance	tail_rmse	683.7278985
7	train	naive_last_conductance	tail_r2	0.558512168
7	valid	torch_tail	observed_count	97143
7	valid	torch_tail	mae	94.73367458
7	valid	torch_tail	rmse	271.4996476
7	valid	torch_tail	r2	0.897748491
7	valid	torch_tail	auc	0.99440461
7	valid	torch_tail	f1	0.685025818
7	valid	torch_tail	precision	0.532512711
7	valid	torch_tail	recall	0.959961409
7	valid	torch_tail	interval_coverage	0.783710612
7	valid	torch_tail	interval_width	383.3404925
7	valid	torch_tail	pinball_q0.1	30.73895944
7	valid	torch_tail	pinball_q0.5	47.36683729
7	valid	torch_tail	pinball_q0.9	21.0422174
7	valid	torch_tail	pinball_q0.95	13.14860456
7	valid	torch_tail	pinball_q0.99	4.163478486
7	valid	torch_tail	tail_count	2073
7	valid	torch_tail	tail_mae	739.7367244
7	valid	torch_tail	tail_rmse	1149.669379
7	valid	torch_tail	tail_r2	0.695636813
7	valid	naive_last_conductance	observed_count	93937
7	valid	naive_last_conductance	mae	57.90709021
7	valid	naive_last_conductance	rmse	213.1602515
7	valid	naive_last_conductance	r2	0.934489363
7	valid	naive_last_conductance	auc	0.997737838
7	valid	naive_last_conductance	f1	0.855656697
7	valid	naive_last_conductance	precision	0.853658537
7	valid	naive_last_conductance	recall	0.857664234
7	valid	naive_last_conductance	interval_coverage	nan
7	valid	naive_last_conductance	interval_width	nan
7	valid	naive_last_conductance	pinball_q0.1	nan
7	valid	naive_last_conductance	pinball_q0.5	nan
7	valid	naive_last_conductance	pinball_q0.9	nan
7	valid	naive_last_conductance	pinball_q0.95	nan
7	valid	naive_last_conductance	pinball_q0.99	nan
7	valid	naive_last_conductance	tail_count	1918
7	valid	naive_last_conductance	tail_mae	643.4490786
7	valid	naive_last_conductance	tail_rmse	1070.374877
7	valid	naive_last_conductance	tail_r2	0.733169252
7	test	torch_tail	observed_count	179144
7	test	torch_tail	mae	106.1282184
7	test	torch_tail	rmse	266.0564057
7	test	torch_tail	r2	0.842061489
7	test	torch_tail	auc	0.989168524
7	test	torch_tail	f1	0.703861401
7	test	torch_tail	precision	0.568683274
7	test	torch_tail	recall	0.923343606
7	test	torch_tail	interval_coverage	0.730803153
7	test	torch_tail	interval_width	443.5557386
7	test	torch_tail	pinball_q0.1	24.46145291
7	test	torch_tail	pinball_q0.5	53.06410919
7	test	torch_tail	pinball_q0.9	26.88118437
7	test	torch_tail	pinball_q0.95	17.67364151
7	test	torch_tail	pinball_q0.99	6.605346103
7	test	torch_tail	tail_count	2596
7	test	torch_tail	tail_mae	909.0817684
7	test	torch_tail	tail_rmse	1489.625043
7	test	torch_tail	tail_r2	0.231887787
7	test	naive_last_conductance	observed_count	174476
7	test	naive_last_conductance	mae	74.76955474
7	test	naive_last_conductance	rmse	225.3985196
7	test	naive_last_conductance	r2	0.875572734
7	test	naive_last_conductance	auc	0.995286355
7	test	naive_last_conductance	f1	0.794229953
7	test	naive_last_conductance	precision	0.797274276
7	test	naive_last_conductance	recall	0.791208791
7	test	naive_last_conductance	interval_coverage	nan
7	test	naive_last_conductance	interval_width	nan
7	test	naive_last_conductance	pinball_q0.1	nan
7	test	naive_last_conductance	pinball_q0.5	nan
7	test	naive_last_conductance	pinball_q0.9	nan
7	test	naive_last_conductance	pinball_q0.95	nan
7	test	naive_last_conductance	pinball_q0.99	nan
7	test	naive_last_conductance	tail_count	2366
7	test	naive_last_conductance	tail_mae	798.4063116
7	test	naive_last_conductance	tail_rmse	1240.662791
7	test	naive_last_conductance	tail_r2	0.346462567
10	train	torch_tail	observed_count	569333
10	train	torch_tail	mae	105.4700233
10	train	torch_tail	rmse	273.5451401
10	train	torch_tail	r2	0.914157989
10	train	torch_tail	auc	0.992200198
10	train	torch_tail	f1	0.8185661
10	train	torch_tail	precision	0.775585852
10	train	torch_tail	recall	0.866589449
10	train	torch_tail	interval_coverage	0.921420329
10	train	torch_tail	interval_width	605.0756288
10	train	torch_tail	pinball_q0.1	27.16381685
10	train	torch_tail	pinball_q0.5	52.73501163
10	train	torch_tail	pinball_q0.9	25.64493484
10	train	torch_tail	pinball_q0.95	16.36766566
10	train	torch_tail	pinball_q0.99	5.354622286
10	train	torch_tail	tail_count	28491
10	train	torch_tail	tail_mae	391.9665593
10	train	torch_tail	tail_rmse	687.9484873
10	train	torch_tail	tail_r2	0.575538222
10	train	naive_last_conductance	observed_count	539506
10	train	naive_last_conductance	mae	95.67779815
10	train	naive_last_conductance	rmse	270.7201453
10	train	naive_last_conductance	r2	0.915983989
10	train	naive_last_conductance	auc	0.992525608
10	train	naive_last_conductance	f1	0.854050305
10	train	naive_last_conductance	precision	0.852463198
10	train	naive_last_conductance	recall	0.855643333
10	train	naive_last_conductance	interval_coverage	nan
10	train	naive_last_conductance	interval_width	nan
10	train	naive_last_conductance	pinball_q0.1	nan
10	train	naive_last_conductance	pinball_q0.5	nan
10	train	naive_last_conductance	pinball_q0.9	nan
10	train	naive_last_conductance	pinball_q0.95	nan
10	train	naive_last_conductance	pinball_q0.99	nan
10	train	naive_last_conductance	tail_count	27342
10	train	naive_last_conductance	tail_mae	413.4259505
10	train	naive_last_conductance	tail_rmse	771.4320242
10	train	naive_last_conductance	tail_r2	0.437907329
10	valid	torch_tail	observed_count	97105
10	valid	torch_tail	mae	105.6168855
10	valid	torch_tail	rmse	297.5473804
10	valid	torch_tail	r2	0.877237706
10	valid	torch_tail	auc	0.991112753
10	valid	torch_tail	f1	0.803844258
10	valid	torch_tail	precision	0.821662469
10	valid	torch_tail	recall	0.786782441
10	valid	torch_tail	interval_coverage	0.81245044
10	valid	torch_tail	interval_width	434.744684
10	valid	torch_tail	pinball_q0.1	32.61526617
10	valid	torch_tail	pinball_q0.5	52.80844277
10	valid	torch_tail	pinball_q0.9	24.74988163
10	valid	torch_tail	pinball_q0.95	15.68459856
10	valid	torch_tail	pinball_q0.99	5.053587121
10	valid	torch_tail	tail_count	2073
10	valid	torch_tail	tail_mae	897.6227475
10	valid	torch_tail	tail_rmse	1319.525273
10	valid	torch_tail	tail_r2	0.599057938
10	valid	naive_last_conductance	observed_count	93246
10	valid	naive_last_conductance	mae	65.90171874
10	valid	naive_last_conductance	rmse	236.4145188
10	valid	naive_last_conductance	r2	0.918857425
10	valid	naive_last_conductance	auc	0.996988862
10	valid	naive_last_conductance	f1	0.832186342
10	valid	naive_last_conductance	precision	0.830866808
10	valid	naive_last_conductance	recall	0.833510074
10	valid	naive_last_conductance	interval_coverage	nan
10	valid	naive_last_conductance	interval_width	nan
10	valid	naive_last_conductance	pinball_q0.1	nan
10	valid	naive_last_conductance	pinball_q0.5	nan
10	valid	naive_last_conductance	pinball_q0.9	nan
10	valid	naive_last_conductance	pinball_q0.95	nan
10	valid	naive_last_conductance	pinball_q0.99	nan
10	valid	naive_last_conductance	tail_count	1886
10	valid	naive_last_conductance	tail_mae	751.6889353
10	valid	naive_last_conductance	tail_rmse	1195.607517
10	valid	naive_last_conductance	tail_r2	0.665546504
10	test	torch_tail	observed_count	179065
10	test	torch_tail	mae	115.6213824
10	test	torch_tail	rmse	279.1778551
10	test	torch_tail	r2	0.826164089
10	test	torch_tail	auc	0.989283297
10	test	torch_tail	f1	0.715730579
10	test	torch_tail	precision	0.810823988
10	test	torch_tail	recall	0.640600924
10	test	torch_tail	interval_coverage	0.761148186
10	test	torch_tail	interval_width	502.8210611
10	test	torch_tail	pinball_q0.1	24.52183613
10	test	torch_tail	pinball_q0.5	57.81069122
10	test	torch_tail	pinball_q0.9	29.8429263
10	test	torch_tail	pinball_q0.95	19.53324772
10	test	torch_tail	pinball_q0.99	7.115201775
10	test	torch_tail	tail_count	2596
10	test	torch_tail	tail_mae	1006.652988
10	test	torch_tail	tail_rmse	1535.350751
10	test	torch_tail	tail_r2	0.184007903
10	test	naive_last_conductance	observed_count	173624
10	test	naive_last_conductance	mae	82.76959695
10	test	naive_last_conductance	rmse	241.2169831
10	test	naive_last_conductance	r2	0.85714505
10	test	naive_last_conductance	auc	0.994933013
10	test	naive_last_conductance	f1	0.773613193
10	test	naive_last_conductance	precision	0.777442962
10	test	naive_last_conductance	recall	0.769820972
10	test	naive_last_conductance	interval_coverage	nan
10	test	naive_last_conductance	interval_width	nan
10	test	naive_last_conductance	pinball_q0.1	nan
10	test	naive_last_conductance	pinball_q0.5	nan
10	test	naive_last_conductance	pinball_q0.9	nan
10	test	naive_last_conductance	pinball_q0.95	nan
10	test	naive_last_conductance	pinball_q0.99	nan
10	test	naive_last_conductance	tail_count	2346
10	test	naive_last_conductance	tail_mae	873.5049731
10	test	naive_last_conductance	tail_rmse	1324.048266
10	test	naive_last_conductance	tail_r2	0.259586726
14	train	torch_tail	observed_count	568806
14	train	torch_tail	mae	121.7359455
14	train	torch_tail	rmse	306.4644846
14	train	torch_tail	r2	0.892303284
14	train	torch_tail	auc	0.992181176
14	train	torch_tail	f1	0.729971116
14	train	torch_tail	precision	0.587727195
14	train	torch_tail	recall	0.963052717
14	train	torch_tail	interval_coverage	0.921511025
14	train	torch_tail	interval_width	736.3760472
14	train	torch_tail	pinball_q0.1	30.1481571
14	train	torch_tail	pinball_q0.5	60.86797275
14	train	torch_tail	pinball_q0.9	31.14013061
